% Model,pzt_power_harvester.mph
% Version,COMSOL 4.3.1.115
% Date,"Apr 26 2017, 14:58"
% Table,Probe Table 2 - 
% freq,"Velocity, Z component (m/s), Boundary Probe 3","Electric potential (V*m), Boundary Probe 1","Current density norm (A/m), Boundary Probe 2","Electric potential (V), Boundary Probe 4"
1659586.9074375597,9.944444444444446E-7,-3.467533087138826E-6,0.0037055011118562694,0.009602049520680639
1698243.652461746,9.944444444444446E-7,-2.7164887136360783E-6,8.342712455387162E-4,2.751780185586179E-4
1737800.8287493763,9.944444444444448E-7,2.435974810540234E-5,0.004579910988843274,0.026603435913304503
1778279.410038923,9.944444444444444E-7,2.091154975925866E-6,5.499088192366924E-4,0.0024511447786657384
1819700.8586099825,9.944444444444448E-7,8.744105423778024E-7,3.607646986221949E-4,0.0012294172974135925
1862087.1366628655,9.944444444444446E-7,3.282969403718761E-7,3.0926932927074786E-4,7.441557971178089E-4
1905460.7179632483,9.944444444444444E-7,-1.1968058934991669E-7,3.1617066720906285E-4,4.260750509623316E-4
1949844.5997580455,9.944444444444448E-7,-7.491498984626238E-7,3.953631578143886E-4,9.149368029824158E-5
1995262.3149688789,9.944444444444448E-7,-2.634443003784008E-6,7.67790019844718E-4,-7.037615069722988E-4
2041737.9446695275,9.944444444444446E-7,1.057318851060546E-5,0.0021665671571252467,0.009446955210552298
2089296.1308540408,9.944444444444448E-7,2.343513725520727E-6,3.8581671783880606E-4,0.002083287080244314
2137962.0895022326,9.944444444444446E-7,1.4295090176167675E-6,2.1107575487207774E-4,0.0012946948097963596
2187761.623949552,9.944444444444444E-7,1.057195065063539E-6,1.5922107059076636E-4,0.0010121649573040005
2238721.138568338,9.944444444444444E-7,8.393745793870809E-7,1.64851219614513E-4,9.444365655696463E-4
2290867.6527677746,9.944444444444444E-7,4.838625465733802E-7,9.83468370230855E-4,0.0030172230467322182
2344228.8153199228,9.944444444444446E-7,6.52929270020581E-7,8.574517631997529E-5,6.419414826470795E-4
2398832.91901949,9.944444444444448E-7,5.606320402751978E-7,4.857852786514034E-5,4.80482132260008E-4
2454708.915685029,9.944444444444446E-7,5.500007577860987E-7,1.957301704560003E-4,7.050972903489614E-4
2511886.4315095823,9.944444444444448E-7,3.156759181159092E-7,1.3041062052421946E-4,3.832663974276026E-4
2570395.7827688647,9.944444444444446E-7,2.1499955406440934E-8,2.213088769368858E-4,2.6959119244051157E-4
2630267.9918953814,9.944444444444448E-7,9.41612580922928E-7,2.3051493702223324E-4,8.634585494123699E-4
2691534.803926914,9.944444444444448E-7,5.485241407462355E-7,6.696984606698938E-5,4.3201590733689713E-4
2754228.703338169,9.944444444444444E-7,4.553649764261108E-7,4.1429937304201186E-5,3.449173156910767E-4
2818382.931264455,9.944444444444444E-7,4.011068110198803E-7,3.412661486695871E-5,3.134100000367369E-4
2884031.503126606,9.944444444444444E-7,3.5706917139404276E-7,3.487572571139074E-5,2.929052028376007E-4
2951209.226666384,9.944444444444444E-7,3.085674736815159E-7,4.873777496147694E-5,2.804170485691712E-4
3019951.720402019,9.944444444444448E-7,2.076210242481896E-7,1.1295787259914531E-4,2.885139567072597E-4
3090295.432513592,9.944444444444448E-7,6.267027444458925E-7,3.71749071736013E-4,9.136727216313577E-4
3162277.6601683795,9.944444444444448E-7,5.31765143604067E-7,4.5095932444162083E-4,0.001237576360798479
